,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
325,Louisiana,total,Less_than_high_school_graduate,25977,890,LA,52.92592593,56.82142857,66.08333333,0,0,0,0,16,39,-363678,25977,623448,22.84415755,229744.6808,#DIV/0!,#DIV/0!
326,Louisiana,total,High_school_graduate_includes_equivalency,33568,1577,LA,52.92592593,56.82142857,66.08333333,0,0,0,0,18,39,-537088,33568,738496,#DIV/0!,#DIV/0!,22.84415755,229744.6808
327,Louisiana,total,Some_college_or_associates_degree,40916,730,LA,52.92592593,56.82142857,66.08333333,6503.851852,13007.7037,141.1677668,16940.13201,20,39,-753428.132,23975.86799,801379.868,29.44204301,451222.4996,26.08943919,314047.3618
328,Louisiana,total,Bachelors_degree,55685,1818,LA,52.92592593,56.82142857,66.08333333,6089.384615,24357.53846,264.343299,31721.19587,22,39,-1145421.196,23963.80413,970608.8041,27.50523108,386207.597,26.31423172,319886.7973
329,Louisiana,total,Graduate_or_professional_degree,65857,2150,LA,52.92592593,56.82142857,66.08333333,0,0,0,0,26,39,-1580568,65857,921998,32.3168881,547725.2999,30.51379137,428978.7585
342,Maine,total,Total,45966,802,ME,57.73684211,32.44444444,59.5,0,0,0,0,,,,45966,,,,,
343,Maine,total,Less_than_high_school_graduate,31011,1816,ME,57.73684211,32.44444444,59.5,0,0,0,0,16,39,-434154,31011,744264,27.56263982,420591.0235,#DIV/0!,#DIV/0!
344,Maine,total,High_school_graduate_includes_equivalency,36375,1080,ME,57.73684211,32.44444444,59.5,0,0,0,0,18,39,-582000,36375,800250,#DIV/0!,#DIV/0!,27.56263982,420591.0235
345,Maine,total,Some_college_or_associates_degree,43898,1709,ME,57.73684211,32.44444444,59.5,5897.888889,11795.77778,128.0151858,15361.82229,20,39,-805525.8223,28536.17771,862598.1777,29.71232518,498785.8283,28.8175543,459507.1765
346,Maine,total,Bachelors_degree,53866,1760,ME,57.73684211,32.44444444,59.5,7844.052632,31376.21053,340.5143345,40861.72014,22,39,-1118181.72,13004.27986,928726.2799,30.65472072,533065.4662,29.9290186,493974.7959
347,Maine,total,Graduate_or_professional_degree,69390,3263,ME,57.73684211,32.44444444,59.5,0,0,0,0,26,39,-1665360,69390,971460,32.81417537,611615.6293,32.08020011,560685.0856
360,Maryland,total,Total,61166,532,MD,40.76666667,21.77777778,74.73913043,0,0,0,0,,,,61166,,,,,
361,Maryland,total,Less_than_high_school_graduate,33805,1890,MD,40.76666667,21.77777778,74.73913043,0,0,0,0,16,39,-473270,33805,811320,25.54539037,390291.9215,#DIV/0!,#DIV/0!
362,Maryland,total,High_school_graduate_includes_equivalency,40888,673,MD,40.76666667,21.77777778,74.73913043,0,0,0,0,18,39,-654208,40888,899536,#DIV/0!,#DIV/0!,25.54539037,390291.9215
363,Maryland,total,Some_college_or_associates_degree,50548,879,MD,40.76666667,21.77777778,74.73913043,5113.882353,10227.76471,110.9981235,13319.77482,20,39,-923183.7748,37228.22518,997640.2252,27.84428311,484289.0477,26.87175386,435129.6391
364,Maryland,total,Bachelors_degree,76711,1358,MD,40.76666667,21.77777778,74.73913043,6967.76,27871.04,302.4740234,36296.88281,22,39,-1570516.883,40414.11719,1344501.117,25.57878689,391657.4384,25.57327373,391234.5186
