,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
343,Maine,total,Less_than_high_school_graduate,31011,1816,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0,0,0,0,16,-434154,31011,744264
344,Maine,total,High_school_graduate_includes_equivalency,36375,1080,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0,0,0,0,18,-582000,36375,800250
345,Maine,total,Some_college_or_associates_degree,43898,1709,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,5897.888888888889,11795.777777777777,128.01518578711622,15361.822294453947,20,-805525.8223,28536.177705546055,862598.1777
346,Maine,total,Bachelors_degree,53866,1760,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,7844.0526315789475,31376.21052631579,340.51433449254813,40861.720139105775,22,-1118181.72,13004.279860894225,928726.2798608942
347,Maine,total,Graduate_or_professional_degree,69390,3263,ME,57.73684210526316,7844.0526315789475,32.44444444444444,5897.888888888889,59.5,5769.75,0,0,0,0,26,-1665360,69390,971460
360,Maryland,total,Total,61166,532,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,0,0,0,0,,,61166,
361,Maryland,total,Less_than_high_school_graduate,33805,1890,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,0,0,0,0,16,-473270,33805,811320
362,Maryland,total,High_school_graduate_includes_equivalency,40888,673,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,0,0,0,0,18,-654208,40888,899536
363,Maryland,total,Some_college_or_associates_degree,50548,879,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,5113.882352941177,10227.764705882353,110.99812353849737,13319.774824619684,20,-923183.7748,37228.225175380314,997640.2251753804
364,Maryland,total,Bachelors_degree,76711,1358,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,6967.76,27871.04,302.4740234087652,36296.88280905183,22,-1570516.883,40414.11719094817,1344501.1171909482
365,Maryland,total,Graduate_or_professional_degree,99484,1941,MD,40.766666666666666,6967.76,21.77777777777778,5113.882352941177,74.73913043478261,6235.727272727273,0,0,0,0,26,-2387616,99484,1392776
378,Massachusetts,total,Total,62009,462,MA,58.80821917808219,8086.506849315068,29.095238095238095,5426.9473684210525,56.35294117647059,6773.935483870968,0,0,0,0,,,62009,
379,Massachusetts,total,Less_than_high_school_graduate,34472,2061,MA,58.80821917808219,8086.506849315068,29.095238095238095,5426.9473684210525,56.35294117647059,6773.935483870968,0,0,0,0,16,-482608,34472,827328
380,Massachusetts,total,High_school_graduate_includes_equivalency,42196,531,MA,58.80821917808219,8086.506849315068,29.095238095238095,5426.9473684210525,56.35294117647059,6773.935483870968,0,0,0,0,18,-675136,42196,928312
